Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
0.00872464,0.00587749,0.10351327,0.08325577,0.0019057,0.02620686,-0.02108899
0.01921595,-0.06921951,0.21834958,0.14057294,-0.01153974,0.05149318,-0.06494988
0.11918341,-0.07944747,0.38719013,0.23103991,0.0083388,0.04834693,-0.08385688
0.23228057,-0.05905436,0.5505662,0.32700914,0.00235972,0.05121562,-0.07458552
0.28022182,-0.08448291,0.63369036,0.35999775,-0.04150782,0.08724329,-0.06759759
0.34087372,-0.10006257,0.7270373,0.3791166,-0.04512238,0.12620018,-0.03924348
0.44214696,-0.08174333,0.8465434,0.4395836,-0.03346434,0.1373142,-0.03244513
0.52176327,-0.08253749,0.9649322,0.4969379,-0.03421801,0.14644292,-0.0446077
0.6285708,-0.04607286,1.1288372,0.59120417,-0.01447068,0.17956898,-0.00610638
0.743286,0.00360978,1.2470552,0.67184365,0.00536995,0.2214742,0.02012511
0.7988233,0.02038102,1.3071239,0.7124999,0.01471601,0.22554904,-0.00948987
0.8589907,0.02725243,1.3999565,0.75366217,0.0330179,0.22067672,-0.06450706
0.9170451,-0.00047767,1.5038466,0.81606025,0.0287285,0.22942811,-0.08597993
0.9559049,-0.03343681,1.5763844,0.8573402,0.00484788,0.23846988,-0.08863118
1.0371764,-0.04053935,1.6342316,0.83497006,0.00426101,0.28369787,-0.05077984
1.0770808,-0.05466122,1.6032412,0.7707575,0.00429401,0.30740562,-0.017976
1.0456344,-0.06722105,1.5312208,0.73584044,0.0170248,0.31204543,-0.00527411
1.0085068,-0.06850649,1.4518439,0.70307714,0.02782141,0.32740304,-0.02448556
0.9666501,-0.09341429,1.2925494,0.6323303,0.0002872,0.32714716,-0.04363324
0.9771708,-0.01380471,1.2696317,0.70192355,0.04147205,0.35068476,0.00960263
1.0570635,0.13839406,1.4816241,0.86818194,0.11215178,0.38242653,0.04273793
1.0936601,0.16694042,1.6486866,0.94885546,0.08243842,0.36567727,0.02562467
1.1324722,0.16660991,1.7790331,1.0386862,0.06101944,0.37782595,0.02663103
1.2462791,0.21122216,1.9593756,1.142422,0.09852588,0.39677864,0.045182
1.3528848,0.24514827,2.0913928,1.186274,0.10982262,0.38645217,0.04632809
1.4141985,0.26376122,2.1785667,1.233271,0.10512961,0.4364284,0.07128558
1.5162956,0.30617774,2.3045285,1.331732,0.14189164,0.4659303,0.10605935
1.6343347,0.37664568,2.4602284,1.4748412,0.18692711,0.49840784,0.11936619
1.7273705,0.43195358,2.6013846,1.5889033,0.2206758,0.5416898,0.10110094
1.82244,0.49363762,2.6996775,1.6247432,0.2625521,0.50989956,0.0545356
1.9506727,0.6083772,2.7857082,1.679048,0.3042921,0.4308682,0.04914247
2.0341797,0.6569191,2.8527806,1.7128333,0.3136171,0.40182963,0.02242025
2.084803,0.6880117,2.9173107,1.7503644,0.32488912,0.39819512,0.01421159
2.1594641,0.7153554,3.0105472,1.8138056,0.3448851,0.385554,-0.00096114
2.2547503,0.7217622,3.0692616,1.8152733,0.36316842,0.399878,-0.01397486
2.2754216,0.70700836,2.9768772,1.7515345,0.40742144,0.4184337,0.04120918
2.193415,0.63755554,2.756689,1.6315155,0.38537523,0.4159318,0.02786672
2.1016788,0.53838587,2.55296,1.4813039,0.35241064,0.4167472,0.03738619
2.0450563,0.520148,2.4147098,1.3940865,0.35717475,0.436347,0.0519387
2.0356479,0.6294668,2.3710387,1.4197968,0.40376654,0.44721258,0.04100323
2.1295059,0.7912949,2.4705255,1.538653,0.48012868,0.48483226,0.07677752
2.1996598,0.88478416,2.5680468,1.6167479,0.5092989,0.52793336,0.11600201
2.2455103,0.91925716,2.6415677,1.6699755,0.52437556,0.54975784,0.13857433
2.2832394,0.9403623,2.6998618,1.7311653,0.5283394,0.5331481,0.10269478
2.2852316,0.9463491,2.7007828,1.7412041,0.511014,0.53479433,0.09151428
2.2872014,0.9405967,2.719573,1.745994,0.4984467,0.53533685,0.1018209
2.3586729,0.96742773,2.7957504,1.812863,0.53414816,0.54164994,0.09243071
2.4427662,1.0167844,2.8838432,1.8967001,0.5653909,0.5676493,0.11043917
2.5474815,1.1124331,3.0332959,1.9998636,0.6250016,0.59146833,0.13732079
2.6227715,1.1903915,3.1209157,2.0570853,0.6895858,0.59210426,0.1383582
2.6231642,1.1958991,3.1165698,2.0521865,0.68048006,0.565054,0.09279985
2.755741,1.284524,3.2165606,2.1393456,0.7320137,0.589624,0.01797875
3.0073044,1.4575491,3.4141986,2.3042824,0.85669136,0.6226767,0.06016532
3.048785,1.4672221,3.4760425,2.3142376,0.83878374,0.5721459,0.074117
